Month,PremiumIncome,ClaimsPaid,AnnuitiesPaid,Benefits,SurrenderValue,OtherRepayments,OperatingExpenses
01_Jan,2270,858,381,274,398,102,322
02_Feb,2442,907,446,349,475,83,349
03_Mar,3.613183,1.017792,0.446094,0.40903,0.625717,0.130117,0.560839
04_April,2484,1023,417,357,485,127,292
05_May,2514,912,353,312,471,102,338
06_Jun,2775,898,404,336,544,125,520
07_July,2579,827,378,299,484,124,296
08_Aug,2680,865,434,308,483,103,376
09_Sep,2849,824,356,314,545,72,509
10_Oct,2376,796,382,300,570,147,288
11_Nov,2580,807,393,281,541,134,354
12_Dec,3014,869,430,356,547,40,534
